joined,quit,customerName
2015-05-21T22:10:08.949Z,2016-01-12T11:28:44.173Z,Ms. Sana
2015-03-23T06:07:29.324Z,2015-05-17T06:45:21.061Z,Onroe
2016-03-14T07:23:15.304Z,,Lera
2016-01-14T08:22:00.305Z,2016-07-29T19:09:09.578Z,Rgherilyn
2015-08-07T08:18:33.111Z,,Igail
2016-04-14T21:12:11.403Z,2016-05-12T06:47:57.940Z,Mr. Lmar
2015-06-24T09:18:52.945Z,2016-02-08T12:41:31.898Z,Eben
2016-04-26T10:46:02.758Z,2016-06-26T03:59:58.737Z,Wton
2016-04-07T07:01:28.894Z,2016-06-17T00:48:41.098Z,Briana
2015-06-14T09:14:18.418Z,2015-07-11T14:13:10.889Z,Teven
2015-06-01T12:06:53.634Z,2016-05-27T08:32:02.592Z,Erie
2016-05-28T02:24:17.288Z,2016-06-26T16:19:35.220Z,Ethia
2016-06-15T02:44:45.756Z,2016-07-03T05:11:57.220Z,Mega
2015-06-08T19:31:53.531Z,2015-07-01T09:17:55.940Z,Vana
2015-05-05T20:53:43.081Z,2015-09-25T02:39:38.377Z,Floren
2016-01-13T05:03:34.738Z,2016-05-01T20:51:32.709Z,Nden
2016-05-14T22:27:39.131Z,2016-07-15T07:58:04.293Z,Mr. Nual
2016-02-20T08:41:48.679Z,2016-07-07T01:43:33.797Z,Mr. Ewey
2015-12-01T17:02:03.300Z,,Winona
2015-09-27T21:54:40.195Z,,Mr. Rcos
2016-07-05T08:11:12.836Z,2016-07-16T08:45:06.263Z,Uiana
2016-06-01T19:58:07.608Z,2016-07-15T01:30:04.208Z,Ms. Lotta
2016-07-08T21:06:49.804Z,2016-07-17T07:54:27.529Z,Srta. Ndie
2016-06-30T16:56:20.709Z,,Sr. Rant
2015-02-18T01:26:26.518Z,2016-02-02T22:23:08.077Z,Nold
2015-06-28T00:22:29.679Z,,Jere
2015-12-28T10:51:19.626Z,2016-04-14T06:46:22.904Z,Sara
2015-03-03T11:48:45.751Z,,Kimi
2016-01-23T22:33:36.565Z,2016-04-14T01:12:49.162Z,Hamed
2016-01-03T22:44:44.137Z,,Elvis
2015-02-05T16:39:16.247Z,,Mr. Evelt
2016-06-03T09:32:25.295Z,2016-07-18T22:31:00.816Z,Mado
2016-04-06T19:46:27.275Z,2016-07-16T20:21:08.593Z,Ms. Diedre
2015-11-29T05:29:32.417Z,2016-07-28T21:41:28.799Z,Miss Zzetta
2015-08-12T18:12:24.563Z,,Erett
2015-01-09T17:26:28.460Z,,Miss Rilu
2015-06-06T09:09:51.943Z,2016-01-11T22:54:30.612Z,Ms. Delany
2015-04-28T19:37:59.796Z,2016-05-02T00:35:50.649Z,Karry
2015-10-10T00:40:16.554Z,,Ms. Murielley
2015-01-26T08:10:22.542Z,2015-04-07T07:24:31.306Z,Scot
2016-03-17T17:52:59.722Z,,Cedrickey
2015-01-05T18:44:13.027Z,2015-02-22T07:06:39.374Z,Doyle
2015-03-01T08:20:44.184Z,,Shannon
2015-06-07T12:35:15.046Z,,Noch
2016-02-02T04:55:25.364Z,2016-03-23T05:59:08.802Z,Immy
2016-07-14T03:21:21.842Z,2016-07-22T05:15:08.743Z,Mr. Cletus
2015-04-11T20:50:31.690Z,2015-08-28T04:04:49.592Z,Mr. Luther
2015-07-06T16:14:16.168Z,,Olomon
2015-01-29T03:09:52.752Z,2015-12-21T06:40:07.458Z,Ames
2016-01-04T10:40:19.531Z,,Oleonardo
2016-01-24T21:12:20.015Z,2016-05-18T09:18:49.178Z,Ason
2015-01-10T13:53:52.457Z,2016-03-31T22:04:22.022Z,Orliss
2015-10-27T11:10:03.146Z,,Claude
2015-10-08T19:05:39.504Z,2016-05-24T01:08:33.247Z,Mr. Aldo
