submittedAt,customerName,customerEmail,description,status,closedAt,employee
2015-03-16T23:02:10.296Z,Monty,Islaine@Stuart.com,starting World remained together placed course after having ourselves slender,closed,2015-10-18T15:25:51.501Z,Srta. Diedre
2015-05-20T16:26:36.342Z,Malorita,Usebia@Zebetha.pizza,traded health Woggle-Bug table fastened asked: while smiling serving sitting,closed,2016-03-20T03:41:37.703Z,Tavia
2015-01-26T05:08:01.607Z,Mr. Enjamie,Eneen@Nley.org,mistress scarcely direction stump pumpkin seventeen friends answered accidents Scarecrow's,closed,2015-12-19T13:28:06.841Z,Melba
2015-06-10T07:01:18.648Z,Ms. Luannessa,Erik@Meta.com,think greatest cross dignity murmured broad Jackdaws Glinda running different,open,,Fr. Acque
2015-05-11T17:20:50.553Z,Srta. Vennine,Elmo@Erdelisette.org,stranger startling heels stool horse seemed woman lining manufacture enduring,closed,2015-12-18T04:32:26.724Z,Herr Ante
2015-09-03T12:38:29.743Z,M. Ahmed,Rdan@Weldon.com,Powder knitting-needles months tomorrow breath began frowning remarkable clustered ground,open,,Oleonel
2015-06-12T09:33:56.190Z,Liott,Ancy@Ynellye.pizza,quite Pills smashed confidently Scarecrow golden forest morning ought silence,closed,2015-09-23T05:05:05.531Z,Terricarda
2015-03-30T06:17:11.727Z,Llin,Jaime@Kareemanuel.pizza,Jinjur friends place knows Horse composed Scarecrow himself quoits cover,closed,2015-09-14T15:29:12.266Z,Usita
2015-12-17T10:15:33.194Z,Ntos,Enic@Milford.com,coaxing pieces should pretty travel business-like restrain marched while pepper-box,closed,2016-06-10T17:29:11.682Z,Rory
2015-11-10T05:10:25.397Z,Valen,Ohemi@Bbey.org,inspiring separating screen person behind upward Line-Art business? upward expression,closed,2016-04-30T20:12:07.789Z,Argie
2015-11-07T11:51:35.749Z,Enus,Ernie@Anael.com,throne amazement journey defeated Deposit everything patched doses What'll comrades,open,,Diana
2016-01-12T12:55:13.658Z,Miss Uryn,John@Atalya.pizza,Emerald musingly fairly cried positive within sympathetic Scarecrow others knots,open,,Cyrstal
2015-05-09T17:20:29.863Z,Ms. Yvone,Lysses@Clemente.org,thing still admired chose myself stepped gazing wings ejaculated protect,closed,2016-02-10T04:21:53.072Z,Ucien
2015-07-19T15:01:17.032Z,Fr. Hedy,Justi@Trinidad.org,ruler continued understood inquired Majesty pupils While Woodman their sensible,closed,2016-06-18T05:12:59.055Z,Isey
2015-05-02T15:58:05.117Z,Janyce,Angla@Rhett.com,different another smile emeralds display wings dressed bosom substantial coaxing,closed,2015-12-08T22:58:00.728Z,Eugene
2016-01-04T19:09:45.078Z,Tacey,Robbie@Cisco.pizza,Suppose Saw-Horse discovered small Woodman chosen noble Soldier knowing particular,open,,Dayley
2016-04-23T18:59:31.137Z,Wynellyn,Demarcus@Jude.com,sudden calmly farther Stone rendered 'fool' Let's white Glinda's these,closed,2016-05-21T07:58:17.149Z,Onzo
2015-05-14T11:11:01.660Z,Mr. Ewayne,Riell@Tantone.pizza,cultured answered carefully Glinda puzzled release returned outside suspicious asked,closed,2016-04-26T00:06:01.295Z,Alonso
2015-04-12T23:17:18.253Z,Osamonde,Oneida@Vanettie.com,teach exclaimed Wizard place spoil returned Pumpkinhead reaching howled brought,open,,Mr. Odis
2016-05-25T21:31:22.349Z,Maal,Ally@Ommie.org,voice culture Emerald North anyone breath creature terribly Glinda's color,closed,2016-06-11T19:45:51.362Z,Dore
2015-12-02T16:05:57.815Z,Kasey,Angel@Xiomara.com,morning stiff where rather stuck journey noble caramels Queen Emperor's,closed,2016-01-15T13:40:04.997Z,Dewitt
